day,susceptible,infected,recovered,dead,new_infections,cumulative_infected,currently_infected,R_t,R0_proxy
62,846063,48141,92242,13554,4318,153937,47633,0.0906514391283354,0.0906514391283354
63,841688,48668,95578,14066,4375,158312,48141,0.09087887663322324,0.09087887663322324
64,837244,49282,98911,14563,4444,162756,48668,0.09131256677899235,0.09131256677899235
65,832700,49900,102342,15058,4544,167300,49282,0.09220405016030193,0.09220405016030193
66,828184,50487,105818,15511,4516,171816,49900,0.09050100200400801,0.09050100200400801
67,823677,50990,109323,16010,4507,176323,50487,0.08927050527858657,0.08927050527858657
68,819140,51555,112791,16514,4537,180860,50990,0.08897823102569132,0.08897823102569132
69,814619,51919,116398,17064,4521,185381,51555,0.08769275530986326,0.08769275530986326
70,809948,52466,119999,17587,4671,190052,51919,0.08996706408058706,0.08996706408058706
71,805315,52849,123735,18101,4633,194685,52466,0.08830480692257843,0.08830480692257843
72,800687,53263,127434,18616,4628,199313,52849,0.08757024730836913,0.08757024730836913
73,795941,53837,131097,19125,4746,204059,53263,0.0891050072282823,0.0891050072282823
74,791215,54318,134827,19640,4726,208785,53837,0.08778349462265728,0.08778349462265728
75,786481,54754,138553,20212,4734,213519,54318,0.08715342980227549,0.08715342980227549
76,781732,55006,142475,20787,4749,218268,54754,0.08673338934141799,0.08673338934141799
77,776927,55496,146233,21344,4805,223073,55006,0.08735410682471004,0.08735410682471004
78,772106,55866,150124,21904,4821,227894,55496,0.08687112584690788,0.08687112584690788
79,767286,56320,153971,22423,4820,232714,55866,0.0862778792109691,0.0862778792109691
80,762419,56710,157830,23041,4867,237581,56320,0.0864169034090909,0.0864169034090909
81,757623,56920,161836,23621,4796,242377,56710,0.08457062246517369,0.08457062246517369
82,752763,57276,165802,24159,4860,247237,56920,0.08538299367533381,0.08538299367533381
83,747767,57679,169837,24717,4996,252233,57276,0.0872267616453663,0.0872267616453663
84,742772,58079,173899,25250,4995,257228,57679,0.08659997572773454,0.08659997572773454
85,737835,58426,177914,25825,4937,262165,58079,0.08500490710928219,0.08500490710928219
86,732808,58774,181982,26436,5027,267192,58426,0.08604046143840072,0.08604046143840072
87,727821,59137,186022,27020,4987,272179,58774,0.08485044407391024,0.08485044407391024
88,722877,59340,190151,27632,4944,277123,59137,0.08360248237144258,0.08360248237144258
89,717970,59534,194250,28246,4907,282030,59340,0.08269295584765757,0.08269295584765757
90,713021,59788,198348,28843,4949,286979,59534,0.08312896832062351,0.08312896832062351
91,707968,60071,202486,29475,5053,292032,59788,0.08451528734863183,0.08451528734863183
92,702894,60479,206554,30073,5074,297106,60071,0.08446671438797423,0.08446671438797423
93,697904,60648,210746,30702,4990,302096,60479,0.08250797797582632,0.08250797797582632
94,692705,61158,214823,31314,5199,307295,60648,0.08572417886822319,0.08572417886822319
95,687676,61224,219164,31936,5029,312324,61158,0.0822296347166356,0.0822296347166356
96,682562,61592,223262,32584,5114,317438,61224,0.08352933490134588,0.08352933490134588
97,677384,62010,227437,33169,5178,322616,61592,0.08406935965709833,0.08406935965709833
98,672255,62237,231704,33804,5129,327745,62010,0.08271246573133366,0.08271246573133366
99,667086,62395,236127,34392,5169,332914,62237,0.0830534890820573,0.0830534890820573
100,661852,62682,240405,35061,5234,338148,62395,0.08388492667681706,0.08388492667681706
101,656641,62945,244690,35724,5211,343359,62682,0.0831339140423088,0.0831339140423088
102,651416,63110,249109,36365,5225,348584,62945,0.08300897609023751,0.08300897609023751
103,646281,63318,253435,36966,5135,353719,63110,0.08136586911741404,0.08136586911741404
104,641114,63420,257850,37616,5167,358886,63318,0.08160396727628795,0.08160396727628795
105,635985,63558,262185,38272,5129,364015,63420,0.08087354146956796,0.08087354146956796
106,630908,63548,266621,38923,5077,369092,63558,0.07987979483306586,0.07987979483306586
107,625766,63749,270953,39532,5142,374234,63548,0.08091521369673318,0.08091521369673318
108,620742,63608,275489,40161,5024,379258,63749,0.07880907935810758,0.07880907935810758
109,615636,63605,279944,40815,5106,384364,63608,0.08027292164507609,0.08027292164507609
110,610554,63614,284377,41455,5082,389446,63605,0.07989937897963996,0.07989937897963996
111,605545,63492,288875,42088,5009,394455,63614,0.07874052881441192,0.07874052881441192
112,600544,63390,293345,42721,5001,399456,63492,0.07876582876582877,0.07876582876582877
113,595618,63405,297667,43310,4926,404382,63390,0.07770941788925698,0.07770941788925698
114,590627,63460,301983,43930,4991,409373,63405,0.07871618957495466,0.07871618957495466
115,585566,63564,306355,44515,5061,414434,63460,0.07975102426725496,0.07975102426725496
116,580483,63586,310776,45155,5083,419517,63564,0.07996664778805614,0.07996664778805614
117,575550,63456,315227,45767,4933,424450,63586,0.07757997043374328,0.07757997043374328
118,570723,63237,319637,46403,4827,429277,63456,0.07606845688350983,0.07606845688350983
119,565926,62910,324130,47034,4797,434074,63237,0.07585748849565918,0.07585748849565918
120,561098,62834,328468,47600,4828,438902,62910,0.0767445557145128,0.0767445557145128
121,556424,62488,332833,48255,4674,443576,62834,0.07438647865805137,0.07438647865805137
122,551710,62279,337142,48869,4714,448290,62488,0.07543848418896427,0.07543848418896427
123,547054,62026,341452,49468,4656,452946,62279,0.07476035260681771,0.07476035260681771
124,542337,61726,345848,50089,4717,457663,62026,0.07604875374842808,0.07604875374842808
125,537621,61458,350178,50743,4716,462379,61726,0.07640216440397887,0.07640216440397887
126,532918,61144,354558,51380,4703,467082,61458,0.0765238048748739,0.0765238048748739
127,528266,60920,358800,52014,4652,471734,61144,0.07608269004317676,0.07608269004317676
128,523626,60759,362976,52639,4640,476374,60920,0.07616546290216678,0.07616546290216678
129,519144,60389,367207,53260,4482,480856,60759,0.07376684935565102,0.07376684935565102
130,514563,60298,371342,53797,4581,485437,60389,0.07585818609349385,0.07585818609349385
131,510052,59978,375562,54408,4511,489948,60298,0.07481176821785133,0.07481176821785133
132,505506,59740,379744,55010,4546,494494,59978,0.07579445796792157,0.07579445796792157
